i,j,survey_track,rec_track,rating,similarity,rankvalue
0,1,1au9q3wiWxIwXTazIjHdfF,5Y4KPoGudwsnrNWtWXrcSi,5,0.7456193712813123,3.7280968564065615
0,2,1au9q3wiWxIwXTazIjHdfF,0YywjDvFudcaHG74NuWISy,5,0.7392333889261873,3.6961669446309364
0,3,1au9q3wiWxIwXTazIjHdfF,0VynP1BIPpD4yvZmxrwi9e,5,0.7389328141142101,3.6946640705710503
0,4,1au9q3wiWxIwXTazIjHdfF,1NgCWYuBLfqBDA3b8MgSVU,5,0.7382575518388053,3.6912877591940263
0,5,1au9q3wiWxIwXTazIjHdfF,2yrTLEzRVYrdt7lZomgs98,5,0.7372543964070626,3.686271982035313
0,6,1au9q3wiWxIwXTazIjHdfF,2btp3MGBPjqziVdLA6y9zj,5,0.7347800097036981,3.6739000485184903
0,7,1au9q3wiWxIwXTazIjHdfF,0uIGzK6ukV0A5yWoCxPkRL,5,0.7330563455486165,3.665281727743083
0,8,1au9q3wiWxIwXTazIjHdfF,2fhwvSptDeBj8Yw9FufioZ,5,0.7330115575727766,3.665057787863883
0,9,1au9q3wiWxIwXTazIjHdfF,5ddXMXmXZ2FN4iliTG20nO,5,0.7325032454477876,3.662516227238938
0,10,1au9q3wiWxIwXTazIjHdfF,4VBNdFbYwM0pZzeVLSUarj,5,0.7309387920261043,3.6546939601305217
0,11,1au9q3wiWxIwXTazIjHdfF,4hIzUNbS7khuw9BvKyvGTo,5,0.728627658020195,3.6431382901009752
0,12,1au9q3wiWxIwXTazIjHdfF,2FZo4dT395lkdb0ntNOtMz,5,0.7283398231477338,3.6416991157386693
0,13,1au9q3wiWxIwXTazIjHdfF,44yi3VSeP3uWM7A1OtYm6Y,5,0.7283383716930641,3.641691858465321
0,14,1au9q3wiWxIwXTazIjHdfF,5EYrDfvpGNc6P2x1Ask1SJ,5,0.7281337586916256,3.640668793458128
0,15,1au9q3wiWxIwXTazIjHdfF,3hzKGcILdE4296zSpPaphU,5,0.7276028546869067,3.6380142734345333
0,16,1au9q3wiWxIwXTazIjHdfF,5ECJyZc2IJxCcsJAKXmE3Y,5,0.7276028546869067,3.6380142734345333
0,17,1au9q3wiWxIwXTazIjHdfF,3HkrEKcOPMBmUemERvy8pq,5,0.7275525030812332,3.637762515406166
0,18,1au9q3wiWxIwXTazIjHdfF,1VZLEW5ZfcAbKZ94XQiSZF,5,0.7271432561307283,3.635716280653641
0,19,1au9q3wiWxIwXTazIjHdfF,3VPfc6jUrM7IvgOs9z2jqT,5,0.7270195252349418,3.6350976261747094
0,20,1au9q3wiWxIwXTazIjHdfF,6jH4bmYIRZpur97sZZAV4m,5,0.7269178605817749,3.6345893029088745
1,1,1ExfPZEiahqhLyajhybFeS,4hwIdoCJDUXBxpy9Fp3C7n,5,0.8290805259735456,4.1454026298677285
1,2,1ExfPZEiahqhLyajhybFeS,6JfmjCGy7nYztlgmWrXdsE,5,0.8209597237887077,4.104798618943539
1,3,1ExfPZEiahqhLyajhybFeS,2MHFmOFvXC1m1MwAwjsDpw,5,0.8168697984144223,4.084348992072112
1,4,1ExfPZEiahqhLyajhybFeS,0nxBdJl2uCLMAyJm0z7a6e,5,0.8139404501409342,4.069702250704671
1,5,1ExfPZEiahqhLyajhybFeS,3DedixZcTdBl7rSjuexrVA,5,0.8138193985728195,4.069096992864098
1,6,1ExfPZEiahqhLyajhybFeS,7bLbuKipY5RHQW9q2xhxoh,5,0.8093523174115432,4.046761587057716
1,7,1ExfPZEiahqhLyajhybFeS,6vENFEcoDykmITfyGBu8Zn,5,0.8066034113588181,4.03301705679409
1,8,1ExfPZEiahqhLyajhybFeS,3R73Y7X53MIQZWnKloWq5i,5,0.8059122450387203,4.029561225193602
1,9,1ExfPZEiahqhLyajhybFeS,2URDbWGmPz3vhagl25p8OC,5,0.8057635854921243,4.028817927460622
1,10,1ExfPZEiahqhLyajhybFeS,2Otog0kg568dNJf7HC60JK,5,0.8050804749918381,4.0254023749591905
1,11,1ExfPZEiahqhLyajhybFeS,4qKn9uhP0rsrEknDVsimHV,5,0.8046678304976997,4.023339152488498
1,12,1ExfPZEiahqhLyajhybFeS,6AIccJIWHGK26xi34FAkwl,5,0.8034191727499618,4.017095863749809
1,13,1ExfPZEiahqhLyajhybFeS,24p7XIQ1B1JeysNHQilpmc,5,0.8025162877884571,4.012581438942285
1,14,1ExfPZEiahqhLyajhybFeS,7BynqHgYlWeLRFETJuoipQ,5,0.8024595422069879,4.01229771103494
1,15,1ExfPZEiahqhLyajhybFeS,4moFg5eyN4zeN9u9g4Xgb4,5,0.8015834132243927,4.007917066121964
1,16,1ExfPZEiahqhLyajhybFeS,1WlU4jsJ8AoTB96dgd8LJA,5,0.801389624706379,4.006948123531895
1,17,1ExfPZEiahqhLyajhybFeS,4l8w4n7LMANl0YR4ZZLUD8,5,0.8011525217573162,4.005762608786581
1,18,1ExfPZEiahqhLyajhybFeS,0YcoYLnG1MxZrV5SEoKyfn,5,0.800013647019671,4.000068235098356
