i,j,survey_track,rec_track,rating,similarity,rankvalue
0,1,1au9q3wiWxIwXTazIjHdfF,5vPVxHRFg8cUwRr8j7yqXf,4,0.7361148135350473,2.944459254140189
0,2,1au9q3wiWxIwXTazIjHdfF,732iQF09gPlc32IlBGoXvv,4,0.7229127113026799,2.8916508452107195
0,3,1au9q3wiWxIwXTazIjHdfF,0JXXNGljqupsJaZsgSbMZV,4,0.7145535274180737,2.8582141096722946
0,4,1au9q3wiWxIwXTazIjHdfF,43kmmgGCdJAMn5oOqOY2kd,4,0.6722234865720462,2.688893946288185
0,5,1au9q3wiWxIwXTazIjHdfF,4CszVFNslX9JLvjVPTeqaW,4,0.6696014379838958,2.6784057519355833
0,6,1au9q3wiWxIwXTazIjHdfF,5FjhLFw4Zs9wQWIiiQRpgo,4,0.6680190821584637,2.672076328633855
0,7,1au9q3wiWxIwXTazIjHdfF,24Yy3FTpcOkcAbpzRKIFjw,4,0.6592534439111584,2.6370137756446335
0,8,1au9q3wiWxIwXTazIjHdfF,2NxIp9jbmsnaIiAExWOEo0,4,0.6548800744632537,2.6195202978530148
0,9,1au9q3wiWxIwXTazIjHdfF,74sb4Gib0cL3TQeCjYF8vh,4,0.6452757248826824,2.5811028995307295
0,10,1au9q3wiWxIwXTazIjHdfF,60wtmXbcX9SBhdOe0koasN,4,0.6351415565899443,2.5405662263597772
0,11,1au9q3wiWxIwXTazIjHdfF,0jDzF53LecgvsnlWmmU2kX,4,0.6345163974680186,2.5380655898720743
0,12,1au9q3wiWxIwXTazIjHdfF,6mfUwnHd7OTYPEWmOsvJsn,4,0.6276751342345119,2.5107005369380477
0,13,1au9q3wiWxIwXTazIjHdfF,2Ua5Nq3gQRPAJqnK8Nb8AQ,4,0.626278095236293,2.505112380945172
0,14,1au9q3wiWxIwXTazIjHdfF,5Y4KPoGudwsnrNWtWXrcSi,4,0.6136711005593068,2.4546844022372274
0,15,1au9q3wiWxIwXTazIjHdfF,4T2qnyKCo9UISjERbIeJQg,4,0.6013146406482502,2.405258562593001
0,16,1au9q3wiWxIwXTazIjHdfF,3sC62j1Cjeea5tAhcyGcs8,4,0.5933892675233698,2.3735570700934794
0,17,1au9q3wiWxIwXTazIjHdfF,5eP4WD4hvS9sYpQukzX3QG,4,0.5931817696308496,2.3727270785233983
0,18,1au9q3wiWxIwXTazIjHdfF,4EWCNWgDS8707fNSZ1oaA5,4,0.5902693356534308,2.361077342613723
0,19,1au9q3wiWxIwXTazIjHdfF,5E30LdtzQTGqRvNd7l6kG5,4,0.5873303244596313,2.349321297838525
0,20,1au9q3wiWxIwXTazIjHdfF,4JOP8ELK6AaeySe7sKe996,4,0.587001260454224,2.348005041816896
1,1,1ExfPZEiahqhLyajhybFeS,4piX3WwKpTInJ4KNiAqTI6,5,0.6950247076839409,3.4751235384197043
1,2,1ExfPZEiahqhLyajhybFeS,6HojDglE8E3EA7SbTLE8VF,5,0.6934884349154478,3.467442174577239
1,3,1ExfPZEiahqhLyajhybFeS,2SEXsl9UShqKSc3inzSpIX,5,0.6836087155863043,3.4180435779315217
