id,title,a_name,tempo,energy,danceability,loudness,valence,acousticness
1,1979,Smashing Pumpkins,126.879,0.788,-9.896,0.765,0.964,0.0166
2,1-800-273-8255,Logic,100.021,0.574,-7.788,0.62,0.352,0.57
3,7 rings,Ariana Grande,70.142,0.321,-10.744,0.725,0.319,0.578
4,Acamar,Frankey,119.992,0.739,-9.089,0.777,0.202,0.00212
5,All I Need,Tim Halperin,115.978,0.473,-8.9,0.611,0.133,0.589
6,Always Be My Baby,Tim Halperin,139.906,0.255,-10.247,0.574,0.282,0.778
7,Bang! Bang!,Joe Cuba,126.536,0.776,-5.293,0.583,0.782,0.827
8,Best Friend,Young Thug,127.029,0.598,-5.534,0.959,0.408,0.0358
9,Billie Holiday,Warpaint,100.878,0.385,-11.125,0.518,0.262,0.64
10,Bless My Soul,Nightmares On Wax,99.989,0.532,-13.443,0.853,0.503,0.000156
11,Blood On The Leaves,Kanye West,171.893,0.681,-4.104,0.415,0.364,0.385
12,Careless,Dusky,120.986,0.895,-8.102,0.77,0.68,0.000195
13,Cemalim,Erkin Koray,128.042,0.434,-13.479,0.615,0.618,0.445
14,Digital Animal,Honey Claws,99.994,0.603,-7.792,0.836,0.388,0.00208
15,"""Dont Miss""",The Alexanders,119.999,0.927,-6.268,0.89,0.64,0.0339
16,"""Dont You Evah""",Spoon,120.894,0.614,-7.176,0.772,0.96,0.0429
17,Dopeman,Vince Staples,148.04,0.442,-8.873,0.754,0.608,0.0174
18,Falling Slowly,Glen Hansard,137.042,0.209,-11.869,0.34,0.151,0.679
19,Fire And Rain,James Taylor,76.064,0.35,-14.48,0.611,0.36,0.499
20,Forever,Majid Jordan,115.004,0.708,-7.217,0.753,0.434,0.0496
21,GodLovesUgly,Atmosphere,182.126,0.878,-0.307,0.698,0.821,0.613
22,Gold and a Pager,The Cool Kids,162.046,0.776,-6.299,0.769,0.464,0.00109
23,Have Love Will Travel,The Sonics,130.195,0.948,-5.626,0.506,0.934,0.727
